first_name, last_name, subject, grade
ljsrdoidzb, atvacndzb, Art, C-
ljsrdoidzb, atvacndzb, Music, D-
ljsrdoidzb, atvacndzb, History, B+
mzrjr, pkd, Maths, B
mzrjr, pkd, Physics, 
mzrjr, pkd, Social Studies, A
mzrjr, pkd, Art, F
mzrjr, pkd, Music, C-
mzrjr, pkd, History, C+
k, odigztyrwp, Maths, D-
k, odigztyrwp, Physics, B-
k, odigztyrwp, Social Studies, D+
k, odigztyrwp, Art, B-
k, odigztyrwp, Music, B
k, odigztyrwp, History, A-
y, usukh, Maths, C
y, usukh, Physics, A
y, usukh, Social Studies, B+
y, usukh, Art, D
y, usukh, Music, B
y, usukh, History, A-
ztchhaz, cir, Maths, A-
ztchhaz, cir, Physics, 
ztchhaz, cir, Social Studies, B-
ztchhaz, cir, Art, C-
ztchhaz, cir, Music, B+
ztchhaz, cir, History, D+
v, ye, Maths, B+
v, ye, Physics, B-
v, ye, Social Studies, F
v, ye, Art, D
v, ye, Music, B+
v, ye, History, B+
byktzvrxwg, nr, Maths, 
byktzvrxwg, nr, Physics, F
byktzvrxwg, nr, Social Studies, B-
byktzvrxwg, nr, Art, D-
byktzvrxwg, nr, Music, C
byktzvrxwg, nr, History, B-
roamk, pa, Maths, D-
roamk, pa, Physics, 
roamk, pa, Social Studies, A
roamk, pa, Art, D
roamk, pa, Music, D
roamk, pa, History, B+
imsmftchpa, kq, Maths, D-
imsmftchpa, kq, Physics, D-
imsmftchpa, kq, Social Studies, B
imsmftchpa, kq, Art, C-
imsmftchpa, kq, Music, B
imsmftchpa, kq, History, C+
xuiuhbc, ulfqyzgj, Maths, B-
xuiuhbc, ulfqyzgj, Physics, D+
xuiuhbc, ulfqyzgj, Social Studies, B+
xuiuhbc, ulfqyzgj, Art, D
xuiuhbc, ulfqyzgj, Music, A-
xuiuhbc, ulfqyzgj, History, D
in, sxy, Maths, A
in, sxy, Physics, D-
in, sxy, Social Studies, F
in, sxy, Art, C
in, sxy, Music, B+
in, sxy, History, 
cziudi, ceytvvwc, Maths, C-
cziudi, ceytvvwc, Physics, C
cziudi, ceytvvwc, Social Studies, C
cziudi, ceytvvwc, Art, C+
cziudi, ceytvvwc, Music, B+
cziudi, ceytvvwc, History, B
rndvj, mxr, Maths, A
rndvj, mxr, Physics, D+
rndvj, mxr, Social Studies, 
rndvj, mxr, Art, A
rndvj, mxr, Music, B-
rndvj, mxr, History, B+
gi, yivo, Maths, B+
gi, yivo, Physics, C+
gi, yivo, Social Studies, C
gi, yivo, Art, B
gi, yivo, Music, B
gi, yivo, History, 
xa, vyxuec, Maths, D+
xa, vyxuec, Physics, D
xa, vyxuec, Social Studies, C
xa, vyxuec, Art, D-
xa, vyxuec, Music, D+
xa, vyxuec, History, A
oljrm, xvsp, Maths, A-
oljrm, xvsp, Physics, C
oljrm, xvsp, Social Studies, 
oljrm, xvsp, Art, B-
oljrm, xvsp, Music, B
oljrm, xvsp, History, D
xwjwf, vqglq, Maths, A
xwjwf, vqglq, Physics, D
xwjwf, vqglq, Social Studies, C
xwjwf, vqglq, Art, D
xwjwf, vqglq, Music, C-
xwjwf, vqglq, History, D-
nxueuym, fycytali, Maths, F
nxueuym, fycytali, Physics, D-
nxueuym, fycytali, Social Studies, B-
nxueuym, fycytali, Art, C-
nxueuym, fycytali, Music, C-
nxueuym, fycytali, History, C-
q, s, Maths, C
q, s, Physics, C+
q, s, Social Studies, D-
q, s, Art, A
q, s, Music, D+
q, s, History, F
witjg, hkiccw, Maths, D+
witjg, hkiccw, Physics, C-
witjg, hkiccw, Social Studies, 
witjg, hkiccw, Art, B+
witjg, hkiccw, Music, D-
witjg, hkiccw, History, B-
hmrmfpz, tkw, Maths, B
hmrmfpz, tkw, Physics, D
hmrmfpz, tkw, Social Studies, 
hmrmfpz, tkw, Art, D
hmrmfpz, tkw, Music, C+
hmrmfpz, tkw, History, B
ux, so, Maths, D
ux, so, Physics, D
ux, so, Social Studies, C-
ux, so, Art, B+
ux, so, Music, B+
ux, so, History, C+
hdwgwvjc, mk, Maths, C-
hdwgwvjc, mk, Physics, 
hdwgwvjc, mk, Social Studies, 
hdwgwvjc, mk, Art, 
hdwgwvjc, mk, Music, C-
hdwgwvjc, mk, History, F
idtw, hm, Maths, B
idtw, hm, Physics, C-
idtw, hm, Social Studies, B+
idtw, hm, Art, B
idtw, hm, Music, C-
idtw, hm, History, D
wik, dgcba, Maths, A
wik, dgcba, Physics, C+
wik, dgcba, Social Studies, D
wik, dgcba, Art, B
wik, dgcba, Music, B+
wik, dgcba, History, 
vrbs, ecou, Maths, 
vrbs, ecou, Physics, A
vrbs, ecou, Social Studies, A
vrbs, ecou, Art, 
vrbs, ecou, Music, B-
vrbs, ecou, History, C
pu, iv, Maths, B
pu, iv, Physics, C
pu, iv, Social Studies, D-
pu, iv, Art, B-
pu, iv, Music, 
pu, iv, History, D
twru, blrnrg, Maths, F
twru, blrnrg, Physics, C
twru, blrnrg, Social Studies, F
twru, blrnrg, Art, F
twru, blrnrg, Music, B-
twru, blrnrg, History, A-
g, bbucqpqld, Maths, 
g, bbucqpqld, Physics, B+
g, bbucqpqld, Social Studies, A
g, bbucqpqld, Art, D-
g, bbucqpqld, Music, C
g, bbucqpqld, History, A
izk, b, Maths, 
izk, b, Physics, F
izk, b, Social Studies, C+
izk, b, Art, B-
izk, b, Music, A-
izk, b, History, A-
qrgkkqzms, euoqr, Maths, F
qrgkkqzms, euoqr, Physics, 
qrgkkqzms, euoqr, Social Studies, B-
qrgkkqzms, euoqr, Art, B
qrgkkqzms, euoqr, Music, C
qrgkkqzms, euoqr, History, C+
escbj, urknjklik, Maths, F
escbj, urknjklik, Physics, 
escbj, urknjklik, Social Studies, D+
escbj, urknjklik, Art, B+
escbj, urknjklik, Music, F
escbj, urknjklik, History, C+
ipolx, cszbebqpsi, Maths, B
ipolx, cszbebqpsi, Physics, C+
ipolx, cszbebqpsi, Social Studies, C
ipolx, cszbebqpsi, Art, C-
ipolx, cszbebqpsi, Music, D+
ipolx, cszbebqpsi, History, 
vh, dfynxt, Maths, A
vh, dfynxt, Physics, D+
vh, dfynxt, Social Studies, F
vh, dfynxt, Art, B
vh, dfynxt, Music, A-
vh, dfynxt, History, D-
zgufqnasl, pwzjhgtphn, Maths, C-
zgufqnasl, pwzjhgtphn, Physics, D+
zgufqnasl, pwzjhgtphn, Social Studies, C-
zgufqnasl, pwzjhgtphn, Art, B-
zgufqnasl, pwzjhgtphn, Music, 
zgufqnasl, pwzjhgtphn, History, F
qpcmtqzs, bloagj, Maths, 
qpcmtqzs, bloagj, Physics, D+
qpcmtqzs, bloagj, Social Studies, B-
qpcmtqzs, bloagj, Art, F
qpcmtqzs, bloagj, Music, D+
qpcmtqzs, bloagj, History, B-
qntus, jeqo, Maths, D
qntus, jeqo, Physics, D+
qntus, jeqo, Social Studies, 
qntus, jeqo, Art, 
qntus, jeqo, Music, C+
qntus, jeqo, History, C
yvaccamioi, luxpykmo, Maths, A-
yvaccamioi, luxpykmo, Physics, C+
yvaccamioi, luxpykmo, Social Studies, C
yvaccamioi, luxpykmo, Art, A
yvaccamioi, luxpykmo, Music, B-
yvaccamioi, luxpykmo, History, B+
niqjxnwink, pgwpmwnc, Maths, A-
niqjxnwink, pgwpmwnc, Physics, B
niqjxnwink, pgwpmwnc, Social Studies, 
niqjxnwink, pgwpmwnc, Art, A-
niqjxnwink, pgwpmwnc, Music, B+
niqjxnwink, pgwpmwnc, History, A-
facntbr, nlb, Maths, D-
facntbr, nlb, Physics, F
facntbr, nlb, Social Studies, D-
facntbr, nlb, Art, D-
facntbr, nlb, Music, B-
facntbr, nlb, History, B+
wbzgvucmd, jvqpmdt, Maths, C-
wbzgvucmd, jvqpmdt, Physics, B+
wbzgvucmd, jvqpmdt, Social Studies, D
wbzgvucmd, jvqpmdt, Art, B+
wbzgvucmd, jvqpmdt, Music, B-
wbzgvucmd, jvqpmdt, History, F
puz, gzytkp, Maths, 
puz, gzytkp, Physics, F
puz, gzytkp, Social Studies, F
puz, gzytkp, Art, A
puz, gzytkp, Music, D-
puz, gzytkp, History, B-
iiw, eei, Maths, B
iiw, eei, Physics, 
iiw, eei, Social Studies, D+
iiw, eei, Art, B+
iiw, eei, Music, B-
iiw, eei, History, C-
gpl, hkftyf, Maths, F
gpl, hkftyf, Physics, D+
gpl, hkftyf, Social Studies, A
gpl, hkftyf, Art, C+
gpl, hkftyf, Music, F
gpl, hkftyf, History, D-
ppkd, ew, Maths, B-
ppkd, ew, Physics, A-
ppkd, ew, Social Studies, 
ppkd, ew, Art, D
ppkd, ew, Music, D-
ppkd, ew, History, B
vjnkay, j, Maths, D
vjnkay, j, Physics, A-
vjnkay, j, Social Studies, B-
vjnkay, j, Art, B-
vjnkay, j, Music, 
vjnkay, j, History, A-
diye, blccxdj, Maths, C+
diye, blccxdj, Physics, B-
diye, blccxdj, Social Studies, A
diye, blccxdj, Art, A
diye, blccxdj, Music, B+
diye, blccxdj, History, C+
k, qkd, Maths, C+
k, qkd, Physics, D
k, qkd, Social Studies, C
k, qkd, Art, D-
k, qkd, Music, C-
k, qkd, History, D+
hujr, tq, Maths, A-
hujr, tq, Physics, B
hujr, tq, Social Studies, C
hujr, tq, Art, 
hujr, tq, Music, B-
hujr, tq, History, B-
emw, lc, Maths, D-
emw, lc, Physics, C+
emw, lc, Social Studies, D+
emw, lc, Art, 
emw, lc, Music, D
emw, lc, History, C-
se, gpzyklj, Maths, B+
se, gpzyklj, Physics, C
se, gpzyklj, Social Studies, C
se, gpzyklj, Art, D
se, gpzyklj, Music, B-
se, gpzyklj, History, 
auemxr, doayntvnil, Maths, C
auemxr, doayntvnil, Physics, D
auemxr, doayntvnil, Social Studies, A
auemxr, doayntvnil, Art, 
auemxr, doayntvnil, Music, 
auemxr, doayntvnil, History, A
qqylri, sulzpwhz, Maths, D
qqylri, sulzpwhz, Physics, A-
qqylri, sulzpwhz, Social Studies, C+
qqylri, sulzpwhz, Art, 
qqylri, sulzpwhz, Music, F
qqylri, sulzpwhz, History, C
uyb, nmljyko, Maths, F
uyb, nmljyko, Physics, D-
uyb, nmljyko, Social Studies, 
uyb, nmljyko, Art, C+
uyb, nmljyko, Music, D+
uyb, nmljyko, History, D+
ywdsapgmu, fmwhdhkkv, Maths, B
ywdsapgmu, fmwhdhkkv, Physics, F
ywdsapgmu, fmwhdhkkv, Social Studies, C+
ywdsapgmu, fmwhdhkkv, Art, D-
ywdsapgmu, fmwhdhkkv, Music, C
ywdsapgmu, fmwhdhkkv, History, C
pi, eamndzauc, Maths, B+
pi, eamndzauc, Physics, C
pi, eamndzauc, Social Studies, B-
pi, eamndzauc, Art, B+
pi, eamndzauc, Music, A-
pi, eamndzauc, History, A
uwxz, rwmarzhnfv, Maths, B+
uwxz, rwmarzhnfv, Physics, D-
uwxz, rwmarzhnfv, Social Studies, A-
uwxz, rwmarzhnfv, Art, D+
uwxz, rwmarzhnfv, Music, B+
uwxz, rwmarzhnfv, History, 
nhzbqx, qw, Maths, D
nhzbqx, qw, Physics, A-
nhzbqx, qw, Social Studies, C
nhzbqx, qw, Art, 
nhzbqx, qw, Music, C
nhzbqx, qw, History, D+
pbqhyaa, joixnfterw, Maths, C+
pbqhyaa, joixnfterw, Physics, D-
pbqhyaa, joixnfterw, Social Studies, D+
pbqhyaa, joixnfterw, Art, D+
pbqhyaa, joixnfterw, Music, F
pbqhyaa, joixnfterw, History, F
pileisify, cxlkeiii, Maths, C+
pileisify, cxlkeiii, Physics, B-
pileisify, cxlkeiii, Social Studies, A
pileisify, cxlkeiii, Art, B+
pileisify, cxlkeiii, Music, B
pileisify, cxlkeiii, History, A-
rnwhser, wgcuc, Maths, 
rnwhser, wgcuc, Physics, A
rnwhser, wgcuc, Social Studies, C
rnwhser, wgcuc, Art, D-
rnwhser, wgcuc, Music, D
rnwhser, wgcuc, History, D-
hmejgv, mlxfhjwe, Maths, C+
hmejgv, mlxfhjwe, Physics, D+
hmejgv, mlxfhjwe, Social Studies, A-
hmejgv, mlxfhjwe, Art, B-
hmejgv, mlxfhjwe, Music, F
hmejgv, mlxfhjwe, History, A
tsdtlyoit, z, Maths, C+
tsdtlyoit, z, Physics, B+
tsdtlyoit, z, Social Studies, A-
tsdtlyoit, z, Art, D-
tsdtlyoit, z, Music, F
tsdtlyoit, z, History, D+
wgmv, ewsixawdzg, Maths, D
wgmv, ewsixawdzg, Physics, D-
wgmv, ewsixawdzg, Social Studies, D+
wgmv, ewsixawdzg, Art, 
wgmv, ewsixawdzg, Music, D-
wgmv, ewsixawdzg, History, D-
niyvnm, dve, Maths, B+
niyvnm, dve, Physics, A
niyvnm, dve, Social Studies, A
niyvnm, dve, Art, B
niyvnm, dve, Music, F
niyvnm, dve, History, C+
v, nogftqgq, Maths, C
v, nogftqgq, Physics, C+
v, nogftqgq, Social Studies, B
v, nogftqgq, Art, D-
v, nogftqgq, Music, 
v, nogftqgq, History, 
fejpbsqcs, mzqs, Maths, D-
fejpbsqcs, mzqs, Physics, C
fejpbsqcs, mzqs, Social Studies, C+
fejpbsqcs, mzqs, Art, A
fejpbsqcs, mzqs, Music, 
fejpbsqcs, mzqs, History, C
kzetsr, ictzzylnm, Maths, 
kzetsr, ictzzylnm, Physics, D
kzetsr, ictzzylnm, Social Studies, A
kzetsr, ictzzylnm, Art, A
kzetsr, ictzzylnm, Music, C+
kzetsr, ictzzylnm, History, C+
l, pucrok, Maths, D+
l, pucrok, Physics, A
l, pucrok, Social Studies, C+
l, pucrok, Art, B
l, pucrok, Music, D
l, pucrok, History, D
qnlki, bwcyuhz, Maths, B-
qnlki, bwcyuhz, Physics, D+
qnlki, bwcyuhz, Social Studies, D
qnlki, bwcyuhz, Art, A-
qnlki, bwcyuhz, Music, B-
qnlki, bwcyuhz, History, A-
xui, dix, Maths, 
xui, dix, Physics, F
xui, dix, Social Studies, B-
xui, dix, Art, D+
xui, dix, Music, D+
xui, dix, History, C+
ebolzxbak, frbws, Maths, F
ebolzxbak, frbws, Physics, C
ebolzxbak, frbws, Social Studies, B
ebolzxbak, frbws, Art, A-
ebolzxbak, frbws, Music, D
ebolzxbak, frbws, History, A-
zblok, txlhuaapbf, Maths, B-
zblok, txlhuaapbf, Physics, 
zblok, txlhuaapbf, Social Studies, B
zblok, txlhuaapbf, Art, D+
zblok, txlhuaapbf, Music, A
zblok, txlhuaapbf, History, B
hpqlk, ucgt, Maths, B+
hpqlk, ucgt, Physics, D-
hpqlk, ucgt, Social Studies, D
hpqlk, ucgt, Art, D
hpqlk, ucgt, Music, 
hpqlk, ucgt, History, 
vusvtnwskk, n, Maths, B
vusvtnwskk, n, Physics, C-
vusvtnwskk, n, Social Studies, D+
vusvtnwskk, n, Art, D
vusvtnwskk, n, Music, D
vusvtnwskk, n, History, B+
qjsyzmt, ijatyb, Maths, C-
qjsyzmt, ijatyb, Physics, C+
qjsyzmt, ijatyb, Social Studies, D+
qjsyzmt, ijatyb, Art, B
qjsyzmt, ijatyb, Music, C+
qjsyzmt, ijatyb, History, C
d, zaiy, Maths, 
d, zaiy, Physics, B-
d, zaiy, Social Studies, A
d, zaiy, Art, C+
d, zaiy, Music, 
d, zaiy, History, B
vuce, jntkhauw, Maths, F
vuce, jntkhauw, Physics, D+
vuce, jntkhauw, Social Studies, B-
vuce, jntkhauw, Art, C
vuce, jntkhauw, Music, D+
vuce, jntkhauw, History, A-
htbth, hwmmgte, Maths, F
htbth, hwmmgte, Physics, F
htbth, hwmmgte, Social Studies, A
htbth, hwmmgte, Art, C-
htbth, hwmmgte, Music, B+
htbth, hwmmgte, History, A
kzqpk, dsujzrvina, Maths, B-
kzqpk, dsujzrvina, Physics, D-
kzqpk, dsujzrvina, Social Studies, A-
kzqpk, dsujzrvina, Art, B
kzqpk, dsujzrvina, Music, C
kzqpk, dsujzrvina, History, 
qq, ejbcga, Maths, 
qq, ejbcga, Physics, 
qq, ejbcga, Social Studies, 
qq, ejbcga, Art, 
qq, ejbcga, Music, D+
qq, ejbcga, History, 
rgpgijs, ihfgmb, Maths, B
rgpgijs, ihfgmb, Physics, F
rgpgijs, ihfgmb, Social Studies, A
rgpgijs, ihfgmb, Art, C+
rgpgijs, ihfgmb, Music, 
rgpgijs, ihfgmb, History, D
cyfghf, zdbz, Maths, C+
cyfghf, zdbz, Physics, A-
cyfghf, zdbz, Social Studies, B+
cyfghf, zdbz, Art, A
cyfghf, zdbz, Music, 
cyfghf, zdbz, History, D
zhvfd, b, Maths, F
zhvfd, b, Physics, A-
zhvfd, b, Social Studies, B-
zhvfd, b, Art, D+
zhvfd, b, Music, 
zhvfd, b, History, F
klloyvtm, mcnhpkftu, Maths, A-
klloyvtm, mcnhpkftu, Physics, A-
klloyvtm, mcnhpkftu, Social Studies, B-
klloyvtm, mcnhpkftu, Art, B-
klloyvtm, mcnhpkftu, Music, C+
klloyvtm, mcnhpkftu, History, C-
mpqa, jfjs, Maths, B+
mpqa, jfjs, Physics, F
mpqa, jfjs, Social Studies, B+
mpqa, jfjs, Art, D-
mpqa, jfjs, Music, B+
mpqa, jfjs, History, A-
ukf, pjc, Maths, C
ukf, pjc, Physics, D+
ukf, pjc, Social Studies, C-
ukf, pjc, Art, B+
ukf, pjc, Music, A-
ukf, pjc, History, C-
b, gulxlqlz, Maths, D+
b, gulxlqlz, Physics, C+
b, gulxlqlz, Social Studies, B+
b, gulxlqlz, Art, A
b, gulxlqlz, Music, D
b, gulxlqlz, History, A
jksmhlybh, wsagdehlqi, Maths, B+
jksmhlybh, wsagdehlqi, Physics, B
jksmhlybh, wsagdehlqi, Social Studies, B-
jksmhlybh, wsagdehlqi, Art, D+
jksmhlybh, wsagdehlqi, Music, D
jksmhlybh, wsagdehlqi, History, C
pfqlgn, ighyeeyga, Maths, B+
pfqlgn, ighyeeyga, Physics, C+
pfqlgn, ighyeeyga, Social Studies, A
pfqlgn, ighyeeyga, Art, A-
pfqlgn, ighyeeyga, Music, D-
pfqlgn, ighyeeyga, History, A-
gtkfswv, agkprbbl, Maths, C-
gtkfswv, agkprbbl, Physics, C+
gtkfswv, agkprbbl, Social Studies, C-
gtkfswv, agkprbbl, Art, D+
gtkfswv, agkprbbl, Music, D-
gtkfswv, agkprbbl, History, D
scpkncicv, kafkhki, Maths, B-
scpkncicv, kafkhki, Physics, C-
scpkncicv, kafkhki, Social Studies, A
scpkncicv, kafkhki, Art, B+
scpkncicv, kafkhki, Music, A
scpkncicv, kafkhki, History, C
gilyuxspsj, vfkeldm, Maths, C+
gilyuxspsj, vfkeldm, Physics, F
gilyuxspsj, vfkeldm, Social Studies, C
gilyuxspsj, vfkeldm, Art, B+
gilyuxspsj, vfkeldm, Music, F
gilyuxspsj, vfkeldm, History, A
c, q, Maths, C-
c, q, Physics, F
c, q, Social Studies, D+
c, q, Art, D
c, q, Music, 
c, q, History, C
xofsslbx, lohw, Maths, D-
xofsslbx, lohw, Physics, B-
xofsslbx, lohw, Social Studies, C-
xofsslbx, lohw, Art, B
xofsslbx, lohw, Music, B+
xofsslbx, lohw, History, A
zfsppa, tboufq, Maths, B
zfsppa, tboufq, Physics, C-
zfsppa, tboufq, Social Studies, C+
zfsppa, tboufq, Art, B+
zfsppa, tboufq, Music, C+
zfsppa, tboufq, History, B+
rwno, rjfqt, Maths, D+
rwno, rjfqt, Physics, D
rwno, rjfqt, Social Studies, B-
rwno, rjfqt, Art, 
rwno, rjfqt, Music, C+
rwno, rjfqt, History, C
qxftooro, gbcx, Maths, A-
qxftooro, gbcx, Physics, D+
qxftooro, gbcx, Social Studies, B+
qxftooro, gbcx, Art, C
qxftooro, gbcx, Music, C-
qxftooro, gbcx, History, 
sopmjl, ftifyarb, Maths, D-
sopmjl, ftifyarb, Physics, D+
sopmjl, ftifyarb, Social Studies, C-
sopmjl, ftifyarb, Art, C-
sopmjl, ftifyarb, Music, F
sopmjl, ftifyarb, History, 
inokqdfm, ntxpqe, Maths, C+
inokqdfm, ntxpqe, Physics, C+
inokqdfm, ntxpqe, Social Studies, D
inokqdfm, ntxpqe, Art, B
inokqdfm, ntxpqe, Music, C-
inokqdfm, ntxpqe, History, A-
oelrk, mampwojxwj, Maths, D-
oelrk, mampwojxwj, Physics, C+
oelrk, mampwojxwj, Social Studies, B+
oelrk, mampwojxwj, Art, C-
oelrk, mampwojxwj, Music, C-
oelrk, mampwojxwj, History, C-
rkkpvr, kxskrszokp, Maths, F
rkkpvr, kxskrszokp, Physics, D+
rkkpvr, kxskrszokp, Social Studies, B+
rkkpvr, kxskrszokp, Art, D+
rkkpvr, kxskrszokp, Music, D
rkkpvr, kxskrszokp, History, A
ybknallltt, ngzjhkmwm, Maths, D-
ybknallltt, ngzjhkmwm, Physics, A
ybknallltt, ngzjhkmwm, Social Studies, D-
ybknallltt, ngzjhkmwm, Art, D
ybknallltt, ngzjhkmwm, Music, B
ybknallltt, ngzjhkmwm, History, D
wjdn, l, Maths, A-
wjdn, l, Physics, B+
wjdn, l, Social Studies, D+
wjdn, l, Art, C+
wjdn, l, Music, C
wjdn, l, History, C+
wqiggffrf, edosqenekt, Maths, F
wqiggffrf, edosqenekt, Physics, D
wqiggffrf, edosqenekt, Social Studies, A
wqiggffrf, edosqenekt, Art, B+
wqiggffrf, edosqenekt, Music, B
wqiggffrf, edosqenekt, History, D
u, r, Maths, C-
u, r, Physics, B
u, r, Social Studies, F
u, r, Art, B-
u, r, Music, A-
u, r, History, 
gxhgwz, w, Maths, 
gxhgwz, w, Physics, B-
gxhgwz, w, Social Studies, B
gxhgwz, w, Art, A-
gxhgwz, w, Music, C
gxhgwz, w, History, A-
sqwupvie, ulymn, Maths, C
sqwupvie, ulymn, Physics, D+
sqwupvie, ulymn, Social Studies, B
sqwupvie, ulymn, Art, B+
sqwupvie, ulymn, Music, 
sqwupvie, ulymn, History, B
tosdb, qa, Maths, A
tosdb, qa, Physics, B-
tosdb, qa, Social Studies, B+
tosdb, qa, Art, F
tosdb, qa, Music, C
tosdb, qa, History, 
ewqlsb, huud, Maths, C
ewqlsb, huud, Physics, A
ewqlsb, huud, Social Studies, B+
ewqlsb, huud, Art, 
ewqlsb, huud, Music, 
ewqlsb, huud, History, C-
sncprtqd, vw, Maths, C
sncprtqd, vw, Physics, C
sncprtqd, vw, Social Studies, D+
sncprtqd, vw, Art, C-
sncprtqd, vw, Music, C-
sncprtqd, vw, History, A-
wlddld, gdwuscaqn, Maths, B
wlddld, gdwuscaqn, Physics, B-
wlddld, gdwuscaqn, Social Studies, 
wlddld, gdwuscaqn, Art, D
wlddld, gdwuscaqn, Music, D+
wlddld, gdwuscaqn, History, 
aitpohi, kyporbiqfx, Maths, F
aitpohi, kyporbiqfx, Physics, C-
aitpohi, kyporbiqfx, Social Studies, D
aitpohi, kyporbiqfx, Art, C+
aitpohi, kyporbiqfx, Music, D-
aitpohi, kyporbiqfx, History, D-
rtmpyuhjac, pdlijzrjed, Maths, D+
rtmpyuhjac, pdlijzrjed, Physics, 
rtmpyuhjac, pdlijzrjed, Social Studies, C-
rtmpyuhjac, pdlijzrjed, Art, F
rtmpyuhjac, pdlijzrjed, Music, D+
rtmpyuhjac, pdlijzrjed, History, 
yitzcz, auixq, Maths, 
yitzcz, auixq, Physics, D
yitzcz, auixq, Social Studies, A-
yitzcz, auixq, Art, D-
yitzcz, auixq, Music, D
yitzcz, auixq, History, A-
svbgfb, zbdrqjy, Maths, B
svbgfb, zbdrqjy, Physics, D+
svbgfb, zbdrqjy, Social Studies, B
svbgfb, zbdrqjy, Art, A-
svbgfb, zbdrqjy, Music, C+
svbgfb, zbdrqjy, History, B-
zhc, ibantjpnn, Maths, A-
zhc, ibantjpnn, Physics, 
zhc, ibantjpnn, Social Studies, D-
zhc, ibantjpnn, Art, C
zhc, ibantjpnn, Music, C+
zhc, ibantjpnn, History, B+
hzblcokg, eww, Maths, D+
hzblcokg, eww, Physics, A-
hzblcokg, eww, Social Studies, 
hzblcokg, eww, Art, C-
hzblcokg, eww, Music, B-
hzblcokg, eww, History, B
mvbzymo, aehpud, Maths, B-
mvbzymo, aehpud, Physics, B
mvbzymo, aehpud, Social Studies, C+
mvbzymo, aehpud, Art, B
mvbzymo, aehpud, Music, C-
mvbzymo, aehpud, History, B+
utut, rnyau, Maths, C
utut, rnyau, Physics, C
utut, rnyau, Social Studies, A
utut, rnyau, Art, C
utut, rnyau, Music, D-
utut, rnyau, History, B
niqyd, erwr, Maths, 
niqyd, erwr, Physics, D+
niqyd, erwr, Social Studies, C+
niqyd, erwr, Art, B-
niqyd, erwr, Music, B-
niqyd, erwr, History, A-
mapsxeyy, mpzyhq, Maths, A
mapsxeyy, mpzyhq, Physics, A
mapsxeyy, mpzyhq, Social Studies, D
mapsxeyy, mpzyhq, Art, 
mapsxeyy, mpzyhq, Music, C-
